pair,A,B,status,reason
BNB-LDO,BNB,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: BNB-LDO = (BNB-SOL) - (LDO-SOL) = K700(BNB-SOL) - K721(LDO-SOL). Algebraically redundant.
BNB-SEI,BNB,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: BNB-SEI = (BNB-SOL) - (SEI-SOL) = K700(BNB-SOL) - K689(SEI-SOL). Algebraically redundant.
BNB-SOL,BNB,SOL,ACCEPT,Family member (accepted pair)
BNB-TIA,BNB,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: BNB-TIA = (BNB-SOL) - (TIA-SOL) = K700(BNB-SOL) - K694(TIA-SOL). Algebraically redundant.
ENA-FIL,ENA,FIL,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-FIL = (ENA-SOL) - (FIL-SOL) = K696(ENA-SOL) - K739(FIL-SOL). Algebraically redundant.
ENA-HBAR,ENA,HBAR,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-HBAR = (ENA-SOL) - (HBAR-SOL) = K696(ENA-SOL) - K735(HBAR-SOL). Algebraically redundant.
ENA-INJ,ENA,INJ,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-INJ = (ENA-SOL) - (INJ-SOL) = K696(ENA-SOL) - K686(SOL-INJ). Algebraically redundant.
ENA-LDO,ENA,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-LDO = (ENA-SOL) - (LDO-SOL) = K696(ENA-SOL) - K721(LDO-SOL). Algebraically redundant.
ENA-SEI,ENA,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-SEI = (ENA-SOL) - (SEI-SOL) = K696(ENA-SOL) - K689(SEI-SOL). Algebraically redundant.
ENA-SOL,ENA,SOL,ACCEPT,Family member (accepted pair)
ENA-TIA,ENA,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: ENA-TIA = (ENA-SOL) - (TIA-SOL) = K696(ENA-SOL) - K694(TIA-SOL). Algebraically redundant.
FIL-HBAR,FIL,HBAR,BLOCKED_SOL_TRIANGLE,MR9 L002: FIL-HBAR = (FIL-SOL) - (HBAR-SOL) = K739(FIL-SOL) - K735(HBAR-SOL). Algebraically redundant.
FIL-INJ,FIL,INJ,BLOCKED_SOL_TRIANGLE,MR9 L002: FIL-INJ = (FIL-SOL) - (INJ-SOL) = K739(FIL-SOL) - K686(SOL-INJ). Algebraically redundant.
FIL-LDO,FIL,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: FIL-LDO = (FIL-SOL) - (LDO-SOL) = K739(FIL-SOL) - K721(LDO-SOL). Algebraically redundant.
FIL-SEI,FIL,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: FIL-SEI = (FIL-SOL) - (SEI-SOL) = K739(FIL-SOL) - K689(SEI-SOL). Algebraically redundant.
FIL-SOL,FIL,SOL,ACCEPT,Family member (accepted pair)
FIL-TIA,FIL,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: FIL-TIA = (FIL-SOL) - (TIA-SOL) = K739(FIL-SOL) - K694(TIA-SOL). Algebraically redundant.
HBAR-INJ,HBAR,INJ,BLOCKED_SOL_TRIANGLE,MR9 L002: HBAR-INJ = (HBAR-SOL) - (INJ-SOL) = K735(HBAR-SOL) - K686(SOL-INJ). Algebraically redundant.
HBAR-LDO,HBAR,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: HBAR-LDO = (HBAR-SOL) - (LDO-SOL) = K735(HBAR-SOL) - K721(LDO-SOL). Algebraically redundant.
HBAR-SEI,HBAR,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: HBAR-SEI = (HBAR-SOL) - (SEI-SOL) = K735(HBAR-SOL) - K689(SEI-SOL). Algebraically redundant.
HBAR-SOL,HBAR,SOL,ACCEPT,Family member (accepted pair)
HBAR-TIA,HBAR,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: HBAR-TIA = (HBAR-SOL) - (TIA-SOL) = K735(HBAR-SOL) - K694(TIA-SOL). Algebraically redundant.
INJ-LDO,INJ,LDO,BLOCKED_SOL_TRIANGLE,MR9 L002: INJ-LDO = (INJ-SOL) - (LDO-SOL) = K686(SOL-INJ) - K721(LDO-SOL). Algebraically redundant.
INJ-SEI,INJ,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: INJ-SEI = (INJ-SOL) - (SEI-SOL) = K686(SOL-INJ) - K689(SEI-SOL). Algebraically redundant.
INJ-SOL,INJ,SOL,ACCEPT,Family member (accepted pair)
INJ-TIA,INJ,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: INJ-TIA = (INJ-SOL) - (TIA-SOL) = K686(SOL-INJ) - K694(TIA-SOL). Algebraically redundant.
LDO-SEI,LDO,SEI,BLOCKED_SOL_TRIANGLE,MR9 L002: LDO-SEI = (LDO-SOL) - (SEI-SOL) = K721(LDO-SOL) - K689(SEI-SOL). Algebraically redundant.
LDO-SOL,LDO,SOL,ACCEPT,Family member (accepted pair)
LDO-TIA,LDO,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: LDO-TIA = (LDO-SOL) - (TIA-SOL) = K721(LDO-SOL) - K694(TIA-SOL). Algebraically redundant.
SEI-SOL,SEI,SOL,ACCEPT,Family member (accepted pair)
SEI-TIA,SEI,TIA,BLOCKED_SOL_TRIANGLE,MR9 L002: SEI-TIA = (SEI-SOL) - (TIA-SOL) = K689(SEI-SOL) - K694(TIA-SOL). Algebraically redundant.
SOL-TIA,SOL,TIA,ACCEPT,Family member (accepted pair)
